iter	Passed	Remaining
399	86848	21712
400	87052	21491
401	87343	21292
402	87554	21073
403	87759	20853
404	88016	20645
405	88239	20429
406	88464	20214
407	88697	20000
408	88930	19786
409	89146	19568
410	89370	19352
411	89600	19137
412	89794	18915
413	90033	18702
414	90211	18477
415	90429	18259
416	90673	18047
417	90866	17825
418	91064	17604
419	91304	17391
420	91512	17172
421	91736	16956
422	91936	16735
423	92153	16518
424	92408	16307
425	92633	16091
426	92840	15872
427	93104	15662
428	93310	15443
429	93526	15225
430	93736	15006
431	93936	14786
432	94134	14565
433	94349	14348
434	94594	14134
435	94785	13913
436	94988	13694
437	95236	13481
438	95469	13265
439	95701	13050
440	95955	12837
441	96164	12618
442	96371	12399
443	96591	12182
444	96810	11965
445	97050	11750
446	97261	11532
447	97467	11313
448	97724	11100
449	97944	10882
450	98133	10661
451	98341	10443
452	98581	10228
453	98780	10008
454	98977	9788
455	99173	9569
456	99466	9358
457	99698	9142
458	99933	8926
459	100202	8713
460	100429	8496
461	100646	8278
462	100902	8063
463	101125	7845
464	101338	7627
465	101593	7412
466	101819	7194
467	102019	6975
468	102281	6760
469	102531	6544
470	102752	6326
471	102987	6109
472	103188	5890
473	103395	5671
474	103649	5455
475	103870	5237
476	104059	5017
477	104252	4798
478	104498	4581
479	104700	4362
480	104908	4144
481	105186	3928
482	105408	3710
483	105605	3491
484	105814	3272
485	106018	3054
486	106226	2835
487	106462	2617
488	106686	2399
489	106885	2181
490	107128	1963
491	107344	1745
492	107568	1527
493	107820	1309
494	108024	1091
495	108242	872
496	108447	654
497	108694	436
498	108922	218
499	109139	0
