iter	MultiClass
349	0.2055463306
350	0.2053124112
351	0.2039083035
352	0.2028630013
353	0.2023899934
354	0.2011758554
355	0.2006607674
356	0.1999520992
357	0.1995665204
358	0.1986338888
359	0.1985029766
360	0.1979065712
361	0.1968022522
362	0.1963410241
363	0.1956648534
364	0.194999593
365	0.1941602153
366	0.1938385094
367	0.1930631716
368	0.1925261195
369	0.1923772435
370	0.1915198699
371	0.1909100317
372	0.1901485856
373	0.189579252
374	0.1892703559
375	0.188603056
376	0.1874458826
377	0.1869705673
378	0.1859367948
379	0.1852664648
380	0.1845609753
381	0.1837098017
382	0.1827020844
383	0.1821338414
384	0.1811937547
385	0.1805693127
386	0.1801051496
387	0.1796937644
388	0.1794595733
389	0.1785007607
390	0.1775533247
391	0.1768487572
392	0.1763627024
393	0.1762293407
394	0.175954738
395	0.1753844639
396	0.1747177798
397	0.1738019413
398	0.1735125289
399	0.1728488405
400	0.1721120885
401	0.1713132
402	0.1708270923
403	0.1703027202
404	0.1701838773
405	0.1695538596
406	0.1691749967
407	0.1684096815
408	0.1681480192
409	0.1679174361
410	0.167288248
411	0.1669494679
412	0.1661137173
413	0.1657718182
414	0.1651219775
415	0.1643474287
416	0.1636828751
417	0.1631511616
418	0.1627102279
419	0.1626070141
420	0.1620671199
421	0.1615002526
422	0.1608389552
423	0.1604244507
424	0.1600338962
425	0.1599073993
426	0.1593631006
427	0.1588489188
428	0.158027603
429	0.157384174
430	0.1568201239
431	0.1562728608
432	0.1558788422
433	0.1556704847
434	0.1552120982
435	0.1545507974
436	0.1541781413
437	0.1533379718
438	0.1529826227
439	0.1526703588
440	0.1521206823
441	0.1515680861
442	0.1511239849
443	0.150356894
444	0.1498013739
445	0.149246673
446	0.149069604
447	0.1486548049
448	0.1482889682
449	0.1479127832
450	0.1471502492
451	0.146674189
452	0.14643831
453	0.1460641921
454	0.1456825577
455	0.1453943517
456	0.1447539666
457	0.1444234588
458	0.1438770022
459	0.1436125609
460	0.1434171565
461	0.1432032774
462	0.1429437277
463	0.1424868768
464	0.1421474609
465	0.1418605032
466	0.141490651
467	0.1412165647
468	0.1410374757
469	0.1408558937
470	0.1403739332
471	0.1402896007
472	0.1401198248
473	0.1397826498
474	0.1393152706
475	0.1386770136
476	0.1382774569
477	0.1378694859
478	0.13767492
479	0.1374113676
480	0.1371562478
481	0.136622412
482	0.136086992
483	0.1355892487
484	0.1352515225
485	0.1349567092
486	0.1347021777
487	0.1341581962
488	0.1336677463
489	0.1332434824
490	0.1330137198
491	0.1328670894
492	0.1325478302
493	0.1323322411
494	0.1317806707
495	0.1315931793
496	0.1311229483
497	0.1307239049
498	0.1306275515
499	0.1302097659
