iter	Passed	Remaining
398	97288	24626
399	97530	24382
400	97774	24138
401	98004	23891
402	98237	23645
403	98479	23401
404	98719	23156
405	98970	22914
406	99220	22671
407	99448	22424
408	99661	22174
409	99890	21927
410	100094	21675
411	100326	21429
412	100558	21183
413	100810	20941
414	101050	20697
415	101291	20453
416	101546	20211
417	101760	19962
418	101960	19710
419	102202	19467
420	102437	19222
421	102673	18977
422	102934	18737
423	103169	18492
424	103407	18248
425	103641	18003
426	103901	17763
427	104153	17521
428	104406	17279
429	104644	17035
430	104868	16788
431	105098	16543
432	105375	16305
433	105637	16064
434	105884	15821
435	106118	15577
436	106362	15333
437	106612	15091
438	106830	14844
439	107055	14598
440	107322	14358
441	107552	14113
442	107786	13868
443	108037	13626
444	108265	13381
445	108484	13134
446	108732	12892
447	108993	12651
448	109242	12408
449	109475	12163
450	109718	11920
451	109944	11675
452	110191	11432
453	110435	11189
454	110686	10947
455	110930	10703
456	111172	10460
457	111501	10225
458	111746	9981
459	111924	9732
460	112116	9484
461	112349	9240
462	112582	8996
463	112804	8752
464	113065	8510
465	113328	8268
466	113583	8026
467	113826	7782
468	114074	7540
469	114446	7305
470	114703	7062
471	114958	6819
472	115212	6576
473	115457	6333
474	115713	6090
475	115978	5847
476	116225	5604
477	116470	5360
478	116676	5115
479	116909	4871
480	117131	4626
481	117393	4383
482	117627	4140
483	117880	3896
484	118106	3652
485	118346	3409
486	118585	3165
487	118841	2922
488	119098	2679
489	119560	2440
490	119821	2196
491	120093	1952
492	120386	1709
493	120714	1466
494	121014	1222
495	121314	978
496	121653	734
497	121919	489
498	122311	245
499	122711	0
