iter	MultiClass
0	1.833653432
1	1.640480636
2	1.517684881
3	1.383218869
4	1.280542871
5	1.184016697
6	1.119438677
7	1.06537369
8	0.9991857037
9	0.9435834119
10	0.8794799859
11	0.8299421199
12	0.8082437386
13	0.7637430884
14	0.7603201637
15	0.7140103139
16	0.6792271547
17	0.6520253313
18	0.6442152803
19	0.6296198928
20	0.6200396002
21	0.6068336984
22	0.5944948726
23	0.5748291154
24	0.5630008155
25	0.5352531042
26	0.5251658551
27	0.5115599155
28	0.4992460953
29	0.4779442122
30	0.455159025
31	0.4448474088
32	0.4291426188
33	0.4198147287
34	0.396992918
35	0.3856631833
36	0.3748766166
37	0.3719141004
38	0.3624681814
39	0.3595164761
40	0.3504984885
41	0.3474192067
42	0.3366690327
43	0.3285442921
44	0.3181206299
45	0.304445592
46	0.2984614626
47	0.2983548197
48	0.2975751187
49	0.2873334405
50	0.2820020767
51	0.272009524
52	0.2641447688
53	0.2615654284
54	0.2587684107
55	0.250641195
56	0.245051486
57	0.2353661958
58	0.2302968825
59	0.2213340432
60	0.2135554693
61	0.2090698873
62	0.2080519579
63	0.2043753361
64	0.2036042389
65	0.2005658797
66	0.1913301978
67	0.1836741266
68	0.1775983344
69	0.1753392872
70	0.1679177795
71	0.1624951689
72	0.1583897354
73	0.1532885115
74	0.1488693195
75	0.1445197029
76	0.1408182951
77	0.1397934002
78	0.1384156202
79	0.136252309
80	0.1328220156
81	0.1298657357
82	0.1255284669
83	0.1223930258
84	0.1196005068
85	0.1170081253
86	0.1141350906
87	0.1104910603
88	0.1088491395
89	0.108543514
90	0.1071968656
91	0.1041397627
92	0.1012162011
93	0.09937114799
94	0.09797469913
95	0.0953612588
96	0.09366400355
97	0.09305632909
98	0.09081097031
99	0.09021058261
100	0.08850196178
101	0.08840913679
102	0.08678726558
103	0.08652194414
104	0.08451244673
105	0.08340566205
106	0.08261917565
107	0.08216652139
108	0.08035678175
109	0.07898481936
110	0.07816064118
111	0.07638100345
112	0.07598120062
113	0.07562793335
114	0.07342234614
115	0.07206404126
116	0.07153330125
117	0.07009869284
118	0.06999574823
119	0.06977390209
120	0.06889822122
121	0.06870070016
122	0.06831105844
123	0.06706729384
124	0.06572488699
125	0.06421017509
126	0.06391805504
127	0.06362498542
128	0.06321195725
129	0.06180400065
130	0.06083492037
131	0.06042246234
132	0.05948285031
133	0.05932118505
134	0.0589665258
135	0.0578414589
136	0.05746281913
137	0.05673578395
138	0.05596112766
139	0.0557816141
140	0.05545196125
141	0.05540079111
142	0.05478442654
143	0.05399639151
144	0.05371751879
145	0.05354496567
146	0.05342006085
147	0.0532658347
148	0.05229270094
149	0.05204277265
150	0.05160938058
151	0.05149322777
152	0.05088876542
153	0.05079754453
154	0.05062365618
155	0.05002545706
156	0.04986500014
157	0.04909377879
158	0.04879191515
159	0.04810654222
160	0.04758524243
161	0.04750278703
162	0.04704568385
163	0.04642374118
164	0.04628263223
165	0.04614782263
166	0.04560841951
167	0.04541929065
168	0.04525984166
169	0.04512188496
170	0.0447621948
171	0.0441903981
172	0.04409441564
173	0.04390686085
174	0.04366997833
175	0.04343934923
176	0.04293865136
177	0.04282455382
178	0.04276373418
179	0.04219109369
180	0.04212640165
181	0.04205084918
182	0.04193085636
183	0.04147175284
184	0.04135838124
185	0.04126346286
186	0.04116602696
187	0.04076199385
188	0.04063553008
189	0.04032430001
190	0.04003243289
191	0.03989709104
192	0.03952791778
193	0.03896973632
194	0.03884944432
195	0.03853966442
196	0.03812687367
197	0.03809288952
198	0.03799141277
199	0.03792369455
200	0.03775330032
201	0.03742305475
202	0.03726714539
203	0.0370096162
204	0.03684876044
205	0.03658147034
206	0.03646972214
207	0.03639308787
208	0.03638047107
209	0.03635519712
210	0.03629648121
211	0.03573412392
212	0.0356868749
213	0.03537767754
214	0.03531605554
215	0.03523942069
216	0.03506768658
217	0.03490553693
218	0.03453154517
219	0.03423822433
220	0.03418145165
221	0.0341375305
222	0.03405783222
223	0.03383758084
224	0.03355377516
225	0.03331839982
226	0.03311804645
227	0.03286139697
228	0.03279851018
229	0.03241518475
230	0.03237132161
231	0.03198975891
232	0.03176640242
233	0.03162690848
234	0.03123397913
235	0.03092416931
236	0.03060461294
237	0.03056342183
238	0.03001583752
239	0.02985465753
240	0.02973785794
241	0.02952615352
242	0.02946412109
243	0.02940150236
244	0.02909524616
245	0.02873323041
246	0.02870791991
247	0.02867570618
248	0.02846525541
249	0.02844247646
